Date,GOOG,AAPL,EBAY,CVS
6/25/2018,1124.81,182.17,33.72,78.74
6/26/2018,1118.46,184.43,34.04,79.59
6/27/2018,1103.98,184.16,34.24,79.39
6/28/2018,1114.22,185.5,34.22,78.96
6/29/2018,1115.65,185.11,34.12,78.61
7/2/2018,1127.46,187.18,34.2,78.1
7/3/2018,1102.89,183.92,34.1,76.91
7/5/2018,1124.27,185.4,34.44,77.08
7/6/2018,1140.17,187.97,34.26,77.32
7/9/2018,1154.05,190.58,34.11,75.73
7/10/2018,1152.84,190.35,33.71,75.64
7/11/2018,1153.9,187.88,33.99,77.29
7/12/2018,1183.48,191.03,33.66,76.07
7/13/2018,1188.82,191.33,34.13,74.89
7/16/2018,1183.86,190.91,34.8,74
7/17/2018,1198.8,191.45,34.61,75.24
7/18/2018,1195.88,190.4,34.8,74.53
7/19/2018,1186.96,191.88,34.93,74.45
7/20/2018,1184.91,191.44,34.74,74.92
7/23/2018,1205.5,191.61,34.58,74.96
7/24/2018,1248.08,193,34.53,74.08
7/25/2018,1263.7,194.82,34.4,73.64
7/26/2018,1268.33,194.21,34.7,73.91
7/27/2018,1238.5,190.98,34.53,73.69
7/30/2018,1219.74,189.91,34.02,74.62
7/31/2018,1217.26,190.29,34.01,73.68
8/1/2018,1220.01,201.5,33.77,73.2
8/2/2018,1226.15,207.39,33.86,71.64
8/3/2018,1223.71,207.99,34.4,71.38
8/6/2018,1224.77,209.07,33.88,69.5
8/7/2018,1242.22,207.11,34.09,69.05
8/8/2018,1245.61,207.25,34.15,68.57
8/9/2018,1249.1,208.88,33.84,68.17
8/10/2018,1237.61,207.53,33.78,65.45
8/13/2018,1235.01,208.87,33.99,65.04
8/14/2018,1242.1,209.75,33.66,64.89
8/15/2018,1214.38,210.24,33.22,63.78
8/16/2018,1206.49,213.32,33.09,64.09
8/17/2018,1200.96,217.58,33.45,64.86
8/20/2018,1207.77,215.46,33.67,67.43
8/21/2018,1201.62,215.04,33.81,66.67
8/22/2018,1207.33,215.05,34.43,66.34
8/23/2018,1205.38,215.49,33.89,65.99
8/24/2018,1220.65,216.16,33.52,65.58
8/27/2018,1241.82,217.94,33.79,66.34
8/28/2018,1231.15,219.7,34.2,65.26
8/29/2018,1249.3,222.98,34.11,66.14
8/30/2018,1239.12,225.03,37.95,67.9
8/31/2018,1218.19,227.63,37.81,67.94
9/4/2018,1197,228.36,37.73,68.24
9/5/2018,1186.48,226.87,37.61,68.63
9/6/2018,1171.44,223.1,37.55,67.99
9/7/2018,1164.83,221.3,36.98,67.3
9/10/2018,1164.64,218.33,37.04,68.24
9/11/2018,1177.36,223.85,37.91,67.64
9/12/2018,1162.82,221.07,37.39,66.48
9/13/2018,1175.33,226.41,37.03,65.09
9/14/2018,1172.53,223.84,36.64,64.5
9/17/2018,1156.05,217.88,36.67,65.17
9/18/2018,1161.22,218.24,36.26,64.35
9/19/2018,1171.09,218.37,36.14,65.78
9/20/2018,1186.87,220.03,36.3,70.05
9/21/2018,1166.09,217.66,37.07,69.81
9/24/2018,1173.37,220.79,37.11,71.43
